"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K32,K29,K30,K28,K27,K13,K14,K46,K2,K9,K15,K26,K5,K24,K22,K19,K31,K12,K39,K18,K33,K4,K38,K47,K42,K7,K11,K16,K1,K8,K40,K10,K3,K23,K6,K17,K37,K21,K20,K48,K25";"HEADER_MALE_1X1_Inkplate";41;"HEADER_MALE_1X1_Inkplate";;;
2;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
3;"U9";"AC057TC1";1;"AC057TC1";;;
4;"R1,R35,R31,R9,R33,R30,R29,R24,R8,R34";"0603R";10;"10k";;;
5;"C5,C4,C25,C7,C9,C20,C23,C10,C19,C3,C17,C26,C16";"0603C";13;"100n";;;
6;"PAD2,PAD9,PAD3,PAD7,PAD4,PAD5,PAD1";"PAD_4x4";7;"PAD_4x4";;;
7;"D5,D4";"M4_DIODA";2;"M4_DIODA";;;
8;"R3,R2";"0603R";2;"5k1";;;
9;"R36";"0603R";1;"AC0603FR-1356KL";;;
10;"R11";"0603R";1;"510k";;;
11;"C15,C18,C12,C24,C2,C13";"0603C";6;"2u2";;;
12;"R5,R10,R19,R6,R17";"0603R";5;"1k";;;
13;"Q6,Q8";"SOT-23-3";2;"SSM3J358R,LF";;;
14;"JP1,JP3,JP6,JP5,JP2";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
15;"C27";"0603C";1;"885012206075";;;
16;"D3";"SOD-323";1;"BAT20J";;;
17;"C6,C11";"2917C";2;"DNP";;;
18;"U8";"PCF85063A";1;"PCF85063A";;;
19;"K41";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
20;"R18,R22,R7,R27,R23,R21,R12,R25,R20,R26,R13";"0603R";11;"100k";;;
21;"U1";"PCAL6416AHF,128";1;"PCAL6416AHF,128";;;
22;"C37,C40,C39,C31";"0603C";4;"GMK107BJ105KAHT";;;
23;"Q11,Q4,Q9,Q5";"SOT-23-3";4;"PMOS";;;
24;"R4";"0603R";1;"47k";;;
25;"D8,D6,D7";"SOD−123";3;"MBR0530(C77336)";;;
26;"D2";"LTST-S270GKT";1;"0603LED_SIDE";;;
27;"C22,C21";"0603C";2;"12p";;;
28;"K45";"SFV24R-2STBE1HLF";1;"SFV24R-2STBE1HLF";;;
29;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
30;"R16";"0603R";1;"DNP";;;
31;"R14";"0603R";1;"2k49";;;
32;"C14,C1,C8";"1206C";3;"10u";;;
33;"U3";"SOT-23-5";1;"TPS3840PL27DBVR";;;
34;"C36";"0805C";1;"GRM21BR61H106KE43L";;;
35;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
36;"R32";"0603R";1;"0R47";;;
37;"C35,C30,C29,C34,C32,C28,C33";"0603C";7;"GRM188C81E475KE11J";;;
38;"K43";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
39;"U5";"SOT-23-5";1;"MCP73831T";;;
40;"K35";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
41;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
42;"U6";"TSSOP-14";1;"MC14093BDTR2G";;;
43;"Q7,Q2,Q1";"SOT-23-3";3;"NPN";;;
44;"H1,H2,H4,H3";"Standoff_M3";4;"Standoff_M3";;;
45;"K36";"easyC-connector";1;"easyC-SMD";;;
46;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
47;"L1";"SRN5020TA-2R2M";1;"SRN5020TA-100M";;;
48;"U2";"ESP32-WROVER";1;"ESP32-WROVER";;;
49;"Q12";"SOT-23-3";1;"CJ2310";;;
50;"U4";"SOP-16";1;"CH340C";;;
51;"U7";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
52;"SW3,SW2";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
53;"R28";"0603R";1;"100R";;;
54;"K34";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
55;"K44";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
56;"Q3,Q10";"SOT-23-3";2;"NMOS";;;
57;"D1";"0402LED";1;"RED";;;
58;"R15";"0603R";1;"47R";;;
59;"C38";"0805C";1;"UMK212BBJ475KG";;;
